id,concept,category,plain_definition,technical_definition,related_concepts,related_projects,related_crosswalk,related_pitfalls,notes
odds-ratio,Odds ratio,statistics,A measure of how much more likely an outcome is in one group compared with another.,A ratio comparing the odds of an outcome between two groups, often used in case-control studies.,confidence-interval;effect-size;case-control-study,genetic-association-shiny,when-is-an-association-real,,Central concept for the Shiny app.
confidence-interval,Confidence interval,statistics,A range that shows how uncertain an estimate is.,An interval estimate that gives a plausible range for a parameter under repeated sampling assumptions.,odds-ratio;uncertainty;sample-size,genetic-association-shiny,why-intervals-matter,overinterpretation,Useful bridge between statistics and communication.
statistical-significance,Statistical significance,statistics,A signal that the observed result would be unlikely under a no-effect model.,A decision framework based on p-values and a predefined alpha threshold.,confidence-interval;multiple-testing;uncertainty,genetic-association-shiny,significant-does-not-mean-important,overinterpretation,Should be framed carefully.
effect-size,Effect size,statistics,The size or strength of a result, not just whether it passes a threshold.,A quantitative measure of the magnitude of an association or difference.,odds-ratio;confidence-interval;statistical-significance,genetic-association-shiny,effect-size-vs-significance,overinterpretation,Good concept for interpretation-focused writing.
sample-size,Sample size,statistics,How much data the analysis is based on.,The number of observations, samples or participants included in an analysis.,confidence-interval;power;uncertainty,genetic-association-shiny,small-data-big-claims,low-counts,Connects directly to uncertainty.
uncertainty,Uncertainty,interpretation,The part of the result we should not pretend to know exactly.,The quantified or unquantified limits around an estimate, model or interpretation.,confidence-interval;sample-size;overinterpretation,genetic-association-shiny,what-uncertainty-does,overinterpretation,Core portfolio-wide theme.
case-control-study,Case-control study,statistics,A study design that compares people with and without an outcome.,An observational design that samples cases and controls to examine association with exposures or variants.,odds-ratio;fisher-exact-test;chi-square-test,genetic-association-shiny,from-counts-to-association,,Useful for explaining the app scenario.
fisher-exact-test,Fisher’s exact test,statistics,A test for association that works well when counts are small.,An exact test of independence in a contingency table, commonly 2x2.,case-control-study;low-counts;odds-ratio,genetic-association-shiny,when-small-counts-matter,low-counts,Important when variant carriers are rare.
chi-square-test,Chi-square test,statistics,A test for checking whether observed counts differ from expected counts.,A large-sample test comparing observed and expected frequencies under a null model.,case-control-study;sample-size;statistical-significance,genetic-association-shiny,when-approximation-is-enough,low-counts,Contrast with Fisher’s exact test.
quality-control,Quality control,bioinformatics,A set of checks that asks whether the data are usable before analysis.,Systematic evaluation of sequencing reads, alignments or outputs to detect technical problems.,read-trimming;alignment;metadata,rnaseq-pipeline,cq-before-conclusions,metadata-mistakes,Important first step in RNA-seq workflows.
read-trimming,Read trimming,bioinformatics,Removing low-quality or unwanted sequence parts before alignment.,Preprocessing reads to remove adapters, low-quality bases or artifacts.,quality-control;alignment,rnaseq-pipeline,cleaning-is-not-neutral,,Should be framed as a judgment step.
alignment,Alignment,bioinformatics,Matching sequencing reads to a reference genome or transcriptome.,Mapping reads to reference coordinates using an aligner such as STAR.,genome-build;annotation-file;quantification,rnaseq-pipeline,where-reads-land,wrong-genome-build,Central to RNA-seq preprocessing.
quantification,Quantification,bioinformatics,Counting how much signal belongs to each gene or feature.,Estimating read counts or transcript abundance from aligned or pseudoaligned reads.,alignment;annotation-file;differential-expression,rnaseq-pipeline,from-reads-to-counts,mismatched-annotation-file,Bridge from raw data to statistics.
differential-expression,Differential expression,bioinformatics,Finding genes that appear more or less active between conditions.,Statistical testing of gene-level or transcript-level expression differences across groups.,normalization;multiple-testing;volcano-plot,rnaseq-pipeline,what-changed-and-how-much,low-counts,Main analysis endpoint for RNA-seq demo.
normalization,Normalization,bioinformatics,Adjusting data so samples can be compared fairly.,Methods that correct for sequencing depth, composition or other systematic differences.,differential-expression;batch-effect;pca-plot,rnaseq-pipeline,making-samples-comparable,batch-effects,Important interpretation safeguard.
volcano-plot,Volcano plot,visualization,A plot that shows both size of change and strength of evidence.,A scatter plot of effect size, usually log2 fold change, against statistical evidence, often -log10 p-value.,effect-size;multiple-testing;differential-expression,rnaseq-pipeline,pretty-plots-dangerous-claims,overinterpretation,Good visual statistics topic.
pca-plot,PCA plot,visualization,A plot that shows major patterns of similarity and difference between samples.,A dimensionality-reduction visualization based on principal components of high-dimensional data.,quality-control;batch-effect;metadata,rnaseq-pipeline,when-samples-cluster,batch-effects,Useful for QC and batch effects.
genome-build,Genome build,data-integrity,The version of the reference genome used to locate features.,A specific assembly version of a reference genome, such as GRCh37 or GRCh38.,alignment;annotation-file;gene-id,rnaseq-pipeline,coordinates-need-context,wrong-genome-build,High-impact Pitfalls Lab module.
annotation-file,Annotation file,data-integrity,A file that tells the pipeline where genes and features are located.,A structured genome annotation file, such as GTF or GFF3, defining genes, transcripts and genomic features.,genome-build;gene-id;quantification,rnaseq-pipeline,labels-shape-results,mismatched-annotation-file,Connects pipeline setup to biological output.
gene-id,Gene ID,data-integrity,A stable identifier used to track genes across files and databases.,A database-specific identifier such as Ensembl ID, Entrez ID or gene symbol.,annotation-file;differential-expression;metadata,rnaseq-pipeline,when-names-do-not-match,gene-id-mismatches,Important for joins and annotation.
batch-effect,Batch effect,data-integrity,A technical difference that can look like a biological difference.,Systematic variation caused by processing time, reagent lot, instrument, site or other non-biological factors.,normalization;pca-plot;metadata,rnaseq-pipeline,when-technical-history-shows-up,batch-effects,Strong Pitfalls Lab anchor.
metadata,Metadata,data-integrity,Information that describes what each sample is and how it was processed.,Structured sample-level information used to define groups, covariates and analysis design.,batch-effect;quality-control;gene-id,rnaseq-pipeline,the-table-behind-the-analysis,metadata-mistakes,Often where analysis breaks.
low-counts,Low counts,data-integrity,Sparse data where the numbers are too small to support strong claims.,Features or cells with limited observations, reducing statistical reliability and increasing instability.,sample-size;fisher-exact-test;differential-expression,genetic-association-shiny;rnaseq-pipeline,small-numbers-large-stories,low-counts,Connects stats and RNA-seq.
